Year,iso3c,FDI_Inward_Flow_USD_current_millions,FDI_Inward_Flow_USD_current_pc,FDI_Inward_Flow_perc_total_world,FDI_Inward_Flow_perc_GDP,FDI_Inward_Flow_perc_GFCF,FDI_Outward_Flow_USD_current_millions,FDI_Outward_Flow_USD_current_pc,FDI_Outward_Flow_perc_total_world,FDI_Outward_Flow_perc_GDP,FDI_Outward_Flow_perc_GFCF,FDI_Inward_Stock_USD_current_millions,FDI_Inward_Stock_USD_current_pc,FDI_Inward_Stock_perc_total_world,FDI_Inward_Stock_perc_GDP,FDI_Inward_Stock_perc_GFCF,FDI_Outward_Stock_USD_current_millions,FDI_Outward_Stock_USD_current_pc,FDI_Outward_Stock_perc_total_world,FDI_Outward_Stock_perc_GDP,FDI_Outward_Stock_perc_GFCF
1971,TUN,23,23,23,23,23,,,,,,,,,,,,,,,
1971,TUR,45,45,45,45,45,,,,,,,,,,,,,,,
1971,UGA,0,0,-0.008,-0.01,-0.01,,,,,,,,,,,,,,,
1971,EGY,2,2,2.31,2.31,2.31,,,,,,,,,,,,,,,
1971,TZA,5,5,5.15,5.15,5.15,,,,,,,,,,,,,,,
1971,USA,870,870,870,870,870,7618,7618,7618,7618,7618,,,,,,,,,,
1971,BFA,1,1,1.053,1.05,1.05,,,,,,,,,,,,,,,
1971,URY,0,0,-0.006,-0.01,-0.01,,,,,,,,,,,,,,,
1971,VEN,211,211,211,211,211,,,,,,,,,,,,,,,
1971,WSM,0,0,0.079,0.08,0.08,,,,,,,,,,,,,,,
1971,ZMB,3415,3415,3415.094,3415.09,3415.09,,,,,,,,,,,,,,,
1971,GBR,1771,1771,1771.22,1771.22,1771.22,1988,1988,1988.15,1988.15,1988.15,,,,,,,,,,
1971,IDN,299,299,299.07,299.07,299.07,,,,,,,,,,,,,,,
1972,AFG,0,0,0.15,0.15,0.15,,,,,,,,,,,,,,,
1972,DZA,41,41,41.49,41.49,41.49,2,2,2,2,2,,,,,,,,,,
1972,AGO,2,2,2.16,2.16,2.16,,,,,,,,,,,,,,,
1972,ARG,72,72,71.72,71.72,71.72,2,2,1.673,1.67,1.67,,,,,,,,,,
1972,AUS,1054,1054,1054.015,1054.01,1054.01,129,129,128.771,128.77,128.77,,,,,,,,,,
1972,AUT,145,145,145.4,145.4,145.4,38,38,38.37,38.37,38.37,,,,,,,,,,
1972,BHS,508,508,508.494,508.49,508.49,,,,,,,,,,,,,,,
1972,BGD,0,0,0.09,0.09,0.09,,,,,,,,,,,,,,,
1972,BRB,69,69,68.822,68.82,68.82,0,0,0,0,0,,,,,,,,,,
1972,BEL,386,386,386,386,386,177,177,177,177,177,,,,,,,,,,
1972,BOL,16,16,16.205,16.2,16.2,,,,,,,,,,,,,,,
1972,BRA,460,460,459.9,459.9,459.9,19,19,19,19,19,,,,,,,,,,
1972,SLB,0,0,0,0,0,,,,,,,,,,,,,,,
1972,BRN,0,0,-0.026,-0.03,-0.03,,,,,,,,,,,,,,,
1972,MMR,0,0,0.28,0.28,0.28,,,,,,,,,,,,,,,
1972,BDI,3,3,3.155,3.15,3.15,,,,,,,,,,,,,,,
1972,KHM,0,0,0,0,0,,,,,,,,,,,,,,,
1972,CMR,3,3,3.3,3.3,3.3,,,,,,,,,,,,,,,
1972,CAN,2113,2113,2113.274,2113.27,2113.27,81,81,80.814,80.81,80.81,,,,,,,,,,
1972,CAF,2,2,2.421,2.42,2.42,,,,,,,,,,,,,,,
1972,LKA,0,0,0.3,0.3,0.3,,,,,,,,,,,,,,,
1972,TCD,0,0,-0.001,0,0,,,,,,,,,,,,,,,
1972,CHL,0,0,-0.007,-0.01,-0.01,,,,,,,,,,,,,,,
1972,TWN,3,3,2.7,2.7,2.7,3,3,3,3,3,,,,,,,,,,
1972,COL,18,18,18.46,18.46,18.46,1,1,1.09,1.09,1.09,,,,,,,,,,
1972,COG,66,66,66.3,66.3,66.3,,,,,,,,,,,,,,,
1972,COD,10,10,10.47,10.47,10.47,,,,,,,,,,,,,,,
1972,CRI,26,26,25.846,25.85,25.85,,,,,,,,,,,,,,,
1972,CYP,58,58,57.962,57.96,57.96,,,,,,,,,,,,,,,
1972,BEN,6,6,6.063,6.06,6.06,,,,,,,,,,,,,,,
1972,DNK,164,164,164,164,164,148,148,148,148,148,,,,,,,,,,
1972,DOM,44,44,43.5,43.5,43.5,,,,,,,,,,,,,,,
1972,ECU,81,81,80.8,80.8,80.8,,,,,,,,,,,,,,,
1972,SLV,7,7,6.6,6.6,6.6,,,,,,,,,,,,,,,
1972,ETH,10,10,9.7,9.7,9.7,,,,,,,,,,,,,,,
1972,FJI,16,16,15.659,15.66,15.66,,,,,,,,,,,,,,,
1972,FIN,37,37,37,37,37,61,61,61,61,61,,,,,,,,,,
1972,FRA,657,657,656.667,656.67,656.67,555,555,555.241,555.24,555.24,,,,,,,,,,
1972,GAB,28,28,28.379,28.38,28.38,,,,,,,,,,,,,,,
1972,GMB,14,14,14.259,14.26,14.26,,,,,,,,,,,,,,,
1972,DEU,1899,1899,1898.524,1898.52,1898.52,1807,1807,1806.538,1806.54,1806.54,,,,,,,,,,
1972,GHA,12,12,11.5,11.5,11.5,,,,,,,,,,,,,,,
1972,GRC,55,55,55,55,55,,,,,,,,,,,,,,,
1972,GTM,16,16,15.9,15.9,15.9,,,,,,,,,,,,,,,
1972,GUY,4,4,4.389,4.39,4.39,,,,,,,,,,,,,,,
1972,HTI,6,6,6.165,6.16,6.16,,,,,,,,,,,,,,,
1972,HND,3,3,3,3,3,,,,,,,,,,,,,,,
1972,HKG,110,110,110.442,110.44,110.44,,,,,,,,,,,,,,,
1972,ISL,13,13,13.338,13.34,13.34,,,,,,,,,,,,,,,
1972,IND,18,18,17.79,17.79,17.79,,,,,,,,,,,,,,,
1972,IRN,91,91,91.2,91.2,91.2,,,,,,,,,,,,,,,
1972,IRQ,0,0,-0.001,0,0,,,,,,,,,,,,,,,
1972,IRL,31,31,31,31,31,,,,,,,,,,,,,,,
1972,ISR,114,114,114,114,114,,,,,,,,,,,,,,,
1972,ITA,674,674,673.87,673.87,673.87,221,221,220.76,220.76,220.76,,,,,,,,,,
1972,CIV,19,19,18.7,18.7,18.7,,,,,,,,,,,,,,,
1972,JAM,98,98,97.5,97.5,97.5,,,,,,,,,,,,,,,
1972,JPN,169,169,169,169,169,723,723,723,723,723,,,,,,,,,,
1972,JOR,1,1,0.56,0.56,0.56,2,2,1.68,1.68,1.68,,,,,,,,,,
1972,KEN,6,6,6.3,6.3,6.3,,,,,,,,,,,,,,,
1972,KOR,496,496,496,496,496,1,1,1,1,1,,,,,,,,,,
1972,KWT,0,0,0.012,0.01,0.01,,,,,,,,,,,,,,,
1972,LAO,0,0,-0.001,0,0,,,,,,,,,,,,,,,
1972,LBN,1,1,0.76,0.76,0.76,,,,,,,,,,,,,,,
1972,LBR,29,29,29.174,29.17,29.17,,,,,,,,,,,,,,,
1972,LBY,126,126,125.98,125.98,125.98,2,2,2,2,2,,,,,,,,,,
1972,MAC,1,1,1.286,1.29,1.29,,,,,,,,,,,,,,,
1972,MDG,12,12,12,12,12,,,,,,,,,,,,,,,
1972,MWI,10,10,10.1,10.1,10.1,,,,,,,,,,,,,,,
1972,MYS,114,114,114,114,114,,,,,,,,,,,,,,,
