year,Tariff_RES,iso3c
1974,,TUR
1975,,TUR
1976,,TUR
1977,,TUR
1978,,TUR
1979,,TUR
1980,,TUR
1981,,TUR
1982,,TUR
1983,60,TUR
1984,78,TUR
1985,75.3000030517578,TUR
1986,68.5999984741211,TUR
1987,73.4000015258789,TUR
1988,77.3000030517578,TUR
1989,54.0180015563965,TUR
1990,58.8385009765625,TUR
1991,63.6590003967285,TUR
1992,68.4794998168945,TUR
1993,73.3000030517578,TUR
1994,81.6370010375977,TUR
1995,89.9739990234375,TUR
1996,86.8000030517578,TUR
1997,86.5999984741211,TUR
1998,87.6999969482422,TUR
1999,86.3000030517578,TUR
2000,87.0999984741211,TUR
2001,87.4000015258789,TUR
2002,89.8000030517578,TUR
2003,87.5999984741211,TUR
2004,87.3000030517578,TUR
2005,87.3000030517578,TUR
2006,,TUR
1970,,AUS
1971,,AUS
1972,,AUS
1973,,AUS
1974,,AUS
1975,,AUS
1976,,AUS
1977,,AUS
1978,,AUS
1979,,AUS
1980,86.7441864013672,AUS
1981,86.8767471313477,AUS
1982,88.4674453735352,AUS
1983,85.9488372802734,AUS
1984,85.683723449707,AUS
1985,87.2744140625,AUS
1986,88.2023239135742,AUS
1987,87.4069747924805,AUS
1988,88.5999984741211,AUS
1989,89.0500030517578,AUS
1990,89.9250030517578,AUS
1991,90.25,AUS
1992,91.8499984741211,AUS
1993,92.5500030517578,AUS
1994,92.6999969482422,AUS
1995,94.75,AUS
1996,94.8499984741211,AUS
1997,95.0500030517578,AUS
1998,95.4000015258789,AUS
1999,95.6500015258789,AUS
2000,96.0774230957031,AUS
2001,95.837028503418,AUS
2002,95.8495559692383,AUS
2003,95.6486282348633,AUS
2004,95.8654174804687,AUS
2005,96.4313354492188,AUS
2006,,AUS
1970,,NZL
1971,,NZL
1972,,NZL
1973,,NZL
1974,,NZL
1975,,NZL
1976,,NZL
1977,,NZL
1978,,NZL
1979,,NZL
1980,,NZL
1981,,NZL
1982,,NZL
1983,,NZL
1984,,NZL
1985,,NZL
1986,,NZL
1987,,NZL
1988,85.5,NZL
1989,85.5,NZL
1990,92.0999984741211,NZL
1991,90.2389984130859,NZL
1992,91.3000030517578,NZL
1993,91.5,NZL
1994,92.6999969482422,NZL
1995,93.9000015258789,NZL
1996,92.8000030517578,NZL
1997,94.5999984741211,NZL
1998,95.5,NZL
1999,96.3000030517578,NZL
2000,96.1999969482422,NZL
2001,96.6999969482422,NZL
2002,96.6999969482422,NZL
2003,96,NZL
2004,96.9000015258789,NZL
2005,96.8300018310547,NZL
2006,,NZL
1970,,ZAF
1971,,ZAF
1972,,ZAF
1973,,ZAF
1974,,ZAF
1975,,ZAF
1976,,ZAF
1977,,ZAF
1978,,ZAF
1979,,ZAF
1980,82.9642868041992,ZAF
1981,78.9892883300781,ZAF
1982,72.7428588867188,ZAF
1983,76.7178573608399,ZAF
1984,84.0999984741211,ZAF
1985,84.7666702270508,ZAF
1986,85.2333374023438,ZAF
1987,86.25,ZAF
1988,89.75,ZAF
1989,87.0749969482422,ZAF
1990,91.4000015258789,ZAF
1991,91.4000015258789,ZAF
1992,93.0500030517578,ZAF
1993,92.0500030517578,ZAF
1994,94.5999984741211,ZAF
1995,94.0500030517578,ZAF
1996,92.9499969482422,ZAF
1997,93.9499969482422,ZAF
1998,94.5999984741211,ZAF
1999,93.8000030517578,ZAF
2000,95,ZAF
2001,95.3875350952148,ZAF
2002,95.6717758178711,ZAF
2003,92.9713973999023,ZAF
2004,94.1208724975586,ZAF
2005,93.807502746582,ZAF
2006,,ZAF
1970,,ARG
1971,,ARG
1972,,ARG
1973,,ARG
1974,,ARG
1975,,ARG
1976,,ARG
1977,,ARG
1978,,ARG
1979,,ARG
1980,44.3561401367188,ARG
1981,44.3561401367188,ARG
1982,80.3000030517578,ARG
1983,75.1333312988281,ARG
1984,75.0166625976563,ARG
1985,72.4499969482422,ARG
1986,78.1999969482422,ARG
1987,75.6999969482422,ARG
1988,75.9499969482422,ARG
