Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Korea, Rep.; World;Import;  All Products;MFN Weighted Average (%);13,94089434;10,61177974;9,535881191;;8,531781977;;;6,842877377;15,02109357;13,45231832;13,61346743;5,902037977;9,550530094;10,40619339;9,98483875;9,723360019;9,266642718;7,973880244;7,457869023;7,414465323;8,366289405;7,889802735;7,308201673;7,447787653;7,715913042;7,994931418;7,985607174;8,420849415;8,827142388;9,069376013;9,069578945
Kuwait; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;4,300072996;4,524792128;4,524792128;;4,543966981;4,107508908;4,321755473;;3,942161559;3,942161559;;4,067131919;3,867585235;3,781638181;3,781643193;5,163635909;5,646701488
Kyrgyz Republic; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;0;;;;;2,776094336;3,326176702;6,796947162;4,309414126;;;3,911149426;3,865510225;4,318324239;4,519173603;4,353704314;3,997218669;4,14397457;4,143972588;3,912260085;6,60169119;5,832423373;5,713385949;5,085456725
Lao PDR; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;;;;;;;;;;;9,402915604;9,587343681;8,101430145;;
Latvia; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;2,178637148;3,207534111;;;;2,563144093;;;;;;;;;;;;;;;;;
Lebanon; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;11,59025313;16,94208356;8,357812874;27,30904166;;5,326395114;6,126393672;5,688481579;6,525769783;;;;;;;5,04594519;5,458805266;5,467072597;6,668400132;26,51301369
Lesotho; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;12,31203256;;;16,72008066;;;;12,36163823;11,61392233;10,93976611;13,53396496;13,410932;10,72661067;11,01672139;11,99438278;;12,1026226;
Lithuania; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;2,886766252;;2,666013692;;;;;2,322297722;2,333186126;;;;;;;;;;;;;;;
Macao; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;
Macedonia, FYR; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;13,84801588;7,741233494;;8,09105896;7,716213775;7,20614461;6,066282968;6,072501397;6,96525998;6,419367509;6,494622666;6,684442026;7,142682773;6,310334957;6,159165466;5,949017577;5,323960441;5,218876417
Madagascar; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;5,1779;4,596499971;5,314177555;4,730867044;;4,49906712;3,474754662;2,722002035;3,317433459;1,732887851;6,534550433;10,2573783;9,782369447;9,587690148;8,721372765;7,704892875;7,566839699;7,309899197;7,28268939;7,025049846;9,70903667;8,431088577;9,501305435;9,500979622
Malawi; World;Import;  All Products;MFN Weighted Average (%);;;;;;;22,30553715;;;;;;12,39452953;11,55087308;;11,12738577;;;20,66536616;;8,020831627;9,628317108;8,76172055;8,593625574;7,620692189;7,443147421;7,913251353;7,901004741;8,231574709;;
Malaysia; World;Import;  All Products;MFN Weighted Average (%);;;;11,26134441;;9,728024159;;;6,265689239;6,225262928;5,22865118;5,137923501;4,808767314;5,513915236;4,704559537;5,292323039;5,368433814;4,266776197;4,362343998;4,824684112;5,049759208;5,194177711;4,365067459;4,171817907;4,409858978;4,444429416;3,521222685;;4,024551378;;
Maldives; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;20,44618432;20,22373647;19,86585212;20,68466765;19,84546213;21,09869559;21,24186666;;20,36894698;20,04941569;19,70848542;20,74942224;6,563896416;7,10079381;7,847958268;11,66397977;11,86446865;13,16215979;12,02554484
Mali; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;10,34621609;10,34621609;10,34621609;6,679975745;;10,64166075;10,76793028;10,90391925;10,96258953;10,40857547;10,6237057;10,59540367;10,59538576;;10,34789228;10,09998062;9,778837774;;;;10,5003309;10,04248605;
Malta; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;8,712352804;;;9,706462019;;5,935877123;5,650575751;;;;;;;;;;;;;;;
Mauritania; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;9,915596175;;;;;9,903696144;9,455846889;9,285245771;8,682725468;7,944203099;8,050175433;;;8,616085759;;;;
Mauritius; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;24,15287115;18,35933972;19,23782885;24,08280731;20,4425322;12,11848314;12,01294563;12,93789056;;12,52794908;5,42899001;2,032312225;2,552491388;2,689544226;1,278200842;1,23788359;1,291017531;1,027224077;1,038536178;0,837042859;0,853442438;0,974783028;1,053039642;1,027112109
Mayotte; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;;;;7,359321605;7,763123096;6,898421354;;;;;;;;;
Mexico; World;Import;  All Products;MFN Weighted Average (%);;;;11,9101641;;;;11,34549471;14,01620386;13,07857303;13,05354715;15,78029925;15,15300739;15,24176353;15,56518476;15,43829289;13,84537371;12,74932355;11,78478148;11,41752572;10,83051114;8,255135971;5,644048544;5,365458837;5,16977046;4,871456563;4,64175601;4,454918308;4,350094299;4,317855928;3,924975485
Moldova; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;1,8898724;;;;2,337985505;2,896077789;;3,37473934;3,081835743;3,229117401;3,049704893;2,702935245;2,917830769;3,209228489;3,193297088;3,35404811;3,641096591;7,520478534;3,834781993;4,542303181;4,994786096;;
Mongolia; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;0,087717492;5,035381565;6,950173842;;5,034699708;5,022931557;4,290387491;4,403773676;5,09820139;;;;;;5,026955653;;4,565975164;;5,687370267;5,466943858
Montenegro; World;Import;  All Products;MFN Weighted Average (%);;;;;;;;;;;;;;;;;;;;6,276379627;8,041289079;9,133560773;9,665385495;8,949192802;9,276773288;7,066621958;6,692003108;6,514211427;5,922658104;5,950148722;5,69616218
