ccode,period,Year,rgdpo,hc,inv_share,Penn_GDP_PPP,Penn_GDP_PPP_log,pop_log,GDP_pc_growth,pop_growth,KOF_econ,KOF_defacto,KOF_dejure,KOF_trade,KOF_trade_df,KOF_trade_dj,KOF_finance,KOF_finance_df,KOF_finance_dj,inflation,Trade_to_GDP,EXP_to_GDP,IMP_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,CTS,Lietal,Alcala,KAOPEN,chinn_ito_normed,LMF_FDI_total_stocks_GDP,LMF_open,LMF_EQ,UNC_FDI_in_stock_GDP,UNC_FDI_out_stock_GDP,UNC_FDI_total_stocks_GDP,FTI_panel,FTI_original,FTI_reduced,Tariff_RES,Tariff_WITS,HF_econ,HF_fin,HF_trade,FTI_original_ipo,FTI_reduced_ipo,Tariff_WITS_ipo,LMF_open_pv,FIN_CUR,CAPITAL,first_year
AGO,"(1990,1995]",1993,30518.21875,1.18377380371094,51.6918116807938,2.28314608444699,0.821092452048539,2.59475715999665,-5.34847796268238,3.17993284697639,49.8231483459473,65.5508895874023,34.09541015625,54.5088081359863,65.504345703125,43.5132682800293,45.137491607666,65.5974273681641,24.6775535583496,1075.61286381461,,,,13086053.8,,,,,21.5775524351937,-0.402450918768992,249188.461748563,-1.91655135154724,0,2263.2,0,15312.6,2262.79,1.252,2264.042,,,,,,27.4,30,25,,,,278.6977539,,,1991
AGO,"(1995,2000]",1998,36266.430078125,1.26370043754578,59.6812719106674,2.34079377745646,0.846829420957541,2.74218853296694,-0.0660256627159894,2.83369237884933,57.6113861083984,77.4688598632813,37.7539031982422,61.5641975402832,78.7721771240235,44.3562156677246,53.6585647583008,76.1655395507813,31.1515880584717,1008.95205978437,152.547109454858,89.6858311851382,62.8612782697202,15378846.4,8187952996.90344,5939008186.97054,5738980003.82281,4267996118.3158,29.1915810085088,-0.287697217766309,317224.739974501,-1.21001923084259,0.165725812315941,5264.2,3.2,16443,5263.48,,,,,,76.25,,24.3,30,25,,,,173.65205382,,,1996
AGO,"(2000,2005]",2003,47881.7734375,1.331991314888,30.6522130966187,2.59956876344964,0.934264060857852,2.90212611101598,12.196805078182,3.46663432533335,54.5929351806641,73.0410629272461,36.1448127746582,57.1595565795899,74.1658508300781,40.1532653808594,52.0263122558594,71.9162658691406,32.1363613128662,85.2356445638842,113.941930119362,62.1403780635577,51.8015520558043,18155679.2,12622823546.5035,26168984840.195,9745291549.94898,23138975378.6468,38.6607263330028,-0.396735478288082,440411.419346369,-1.21001923084259,0.165725812315941,13980.4,303.6,28355.8,14281.744,610.045,15931.5675,6.22,6.22,6.21,87.9399978637695,,,,,6.22,6.21,,126.759927372,,,2001
AGO,"(2005,2010]",2008,114911.83125,1.39234426021576,28.5250335931778,5.25943470562753,1.65207499906767,3.08007138671512,20.2077203319345,3.56621354647393,50.9360145568848,68.6822105407715,33.189822769165,55.8074645996094,72.1990608215332,39.4158683776856,46.0645660400391,65.1653610229492,26.9637756347656,13.246495435738,110.123941486986,64.8298182181348,45.2941232688514,21724285,46923319413.7238,49963326493.5321,33254820188.2619,36610359175.815,70.2307055003718,-0.534703794429677,679437.10366603,-1.77524492740631,0.0331451624631882,19009.8,5531.8,69766.4,20107.244,3054.8,23162.044,5.994,5.858,5.836,,90.8092100975,46.1,25,71.28,5.858,5.836,90.8092100975,74.201050574,,,2006
AGO,"(2010,2015]",2013,183806.29375,1.43846406936646,29.8642611503601,7.09357701647108,1.95184956272955,3.25758408461114,-1.5919588229212,3.51502068282854,45.6561500549316,62.017000579834,29.2952976226807,48.4063217163086,60.5406692504883,36.2719764709473,42.9059753417969,63.4933326721191,22.3186183929443,10.0193241013559,84.163197107588,48.3613589957656,35.8018381118224,26034106.4,61706203518.9341,49241412213.1039,45628490657.7221,37875938651.5608,59.3755299466097,-0.597402620734046,587528.931605221,-1.91655135154724,0,19605,7201,105191,35513.326,3179.266,38692.592,5.706,5.706,5.41,,91.3659664934,47.16,37,69.18,5.706,5.41,91.3659664934,76.52662913,,,2011
AGO,"(2015,2020]",2017.5,149951.359375,1.46368259191513,27.388459444046,5.12008989280738,1.63286793001825,3.37741028418148,-5.10212606539249,3.34054082465474,38.2191944122314,50.1435966491699,26.2947969436646,33.1456642150879,34.4110412597656,31.8802824020386,43.2927303314209,65.8761463165283,20.7093095779419,28.0865980000414,52.8134883636824,28.5642923062703,24.2491960574122,29822998,31930738751.9583,40040662430.368,26963253315.0211,23682610912.2775,19.6634407743609,-0.729618409418631,,-1.91655135154724,0,,,,27441.3666666667,5155.11666666667,32596.4833333333,4.235,4.235,4.95,,91.4698758235,49.15,32.5,61.9,4.235,4.95,91.4698758235,,,,2015.5
ALB,"(1955,1960]",1960,,,,,,,,,,,,,,,,,,,,,,1608800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960
ALB,"(1960,1965]",1963,,,,,,,,,,,,,,,,,,,,,,1762533.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961
ALB,"(1965,1970]",1968,6082.04736328125,1.55914461612701,17.4844071269035,2.82807257527553,1.03959541081519,0.765745965861359,,,23.786205291748,21.9108848571777,25.6615314483643,20.8327732086182,16.8813953399658,24.7841510772705,26.7396450042725,26.9403781890869,26.5389137268066,,,,,2023923.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966
ALB,"(1970,1975]",1973,6858.4376953125,1.64514462947845,18.2622134685516,2.97142567473537,1.08874049205097,0.835136315135425,1.67441491154818,2.28781133388461,23.786205291748,21.9108848571777,25.6615314483643,20.8327732086182,16.8813953399658,24.7841510772705,26.7396450042725,26.9403781890869,26.5389137268066,,,,,2296537.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971
ALB,"(1975,1980]",1978,8339.70234375,1.80951669216156,18.513123691082,3.23954397580153,1.17507235932181,0.944362333075011,1.86396904427633,2.12284854852451,23.730850982666,21.873690032959,25.5880157470703,20.7597152709961,16.8628582000732,24.6565715789795,26.7019920349121,26.8845245361328,26.5194610595703,,47.4940925041872,23.9574919106695,23.5366005935177,2565633.4,,,,,,,71027.4073726913,,,,,,,,,,,,,,,,,,,,,,,1976
ALB,"(1980,1985]",1983,9688.1041015625,2.10040028095245,18.6826506257057,3.40370770989569,1.22482018251778,1.04583184536847,-0.127395743059497,2.02408638771599,23.1683082580566,21.3422901153564,24.994327545166,20.1741054534912,16.66565990448,23.6825511932373,26.1625122070313,26.0189212799072,26.3061046600342,,41.074440497771,19.5192407405226,21.5551997572484,2844697,327080416.661566,,367738931.009147,,1.40614807339376,-0.811009504081184,67837.4554801533,,,,,,,,,,,,,,,,,,,,,,,1981
ALB,"(1985,1990]",1988,10755.2396484375,2.40964775085449,14.7000381350517,3.38389442797426,1.21878260484278,1.15614991421851,-0.0809232405124316,2.01606727573277,24.3119785308838,21.281852722168,27.3421047210693,20.0460147857666,17.2019529342651,22.890075302124,28.5779441833496,25.3617534637451,31.7941352844238,,36.0395578793715,16.5227826787196,19.5167752006518,3152612.2,348115000,,410344997.5,,1.06971239042875,-0.811805209763353,61370.7127199874,,,,,,,,,,,,,,,,,,,,,,,1986
ALB,"(1990,1995]",1993,10507.0572265625,2.51488256454468,5.25396537035704,3.30132301255817,1.18485492107006,1.16001580589324,3.50100856638755,-1.09428007123872,35.6055770874023,39.1303974151611,32.0807563781738,30.8835506439209,39.348445892334,22.4186542510986,40.3276023864746,38.9123477935791,41.7428581237793,85.3421109308759,65.2175009366875,12.117552775212,53.0999481614755,3227287.2,176218311.510454,,663487290.929414,,1.35319102580594,-0.500074726047315,64962.580050793,-0.141151502728462,0.416441917419434,105.333333333333,0,1219,114.9975,,,6.31,,,,,49.7,70,59,,,,49.4216156,57.5,32.5,1991
ALB,"(1995,2000]",1998,14074.2142578125,2.69004430770874,10.014838129282,4.53138082233363,1.50933180485284,1.1331077599688,3.82655709419649,0.0978310691950535,33.8002727508545,30.6548515319824,36.9456901550293,24.8955730438232,27.9786855697632,21.8124626159668,42.7049682617187,33.3310173034668,52.0789184570313,13.3976133682148,50.5847160596626,14.0483330465402,36.5363830131223,3128529.8,427024765.933256,578817635.784961,1079968000.35117,1550183819.72052,1.01486882910995,-0.68707270084746,81087.136794131,-0.141151502728462,0.416441917419434,326.4,4,1870.4,345.024,,,5.95,,,86.550863647461,86.968100535,53.9,70,58.52,,,86.968100535,33.36369667,75,37.5,1996
ALB,"(2000,2005]",2003,16655.344140625,2.84325323104858,24.4203415513039,5.36415778439138,1.67798617188508,1.13328203762216,4.11906323502029,-0.276023485556012,47.3392517089844,44.4254280090332,50.2530776977539,48.4270416259766,48.0973258972168,48.7567497253418,46.2514671325684,40.7535270690918,51.7494071960449,3.20174356852546,67.9912498712795,21.6713971210177,46.3198527502619,3037845,1273316554.14929,1476263652.9647,2701091685.80846,3258054035.92966,2.54047456104341,-0.59512208825232,190233.359538518,-0.141151502728462,0.416441917419434,1119.2,20.6,4533.8,605.436,22.59,951.125,6.246,6.435,6.515,93.2171157836914,91.527017404,57.3,70,61,6.435,6.515,91.527017404,42.85294037,75,37.5,2001
